,area,labels,file,fov,well,roi
3,88.0,4,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI1_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI1,D3,1
0,60.0,1,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D4ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D4ROI3,D4,3
1,218.0,2,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D4ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D4ROI3,D4,3
2,82.0,3,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D4ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D4ROI3,D4,3
0,434.0,1,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C3ROI2_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C3ROI2,C3,2
1,293.0,2,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C3ROI2_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C3ROI2,C3,2
2,84.0,3,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C3ROI2_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C3ROI2,C3,2
3,183.0,4,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C3ROI2_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C3ROI2,C3,2
0,118.0,1,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C4ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C4ROI5,C4,5
1,117.0,2,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C4ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C4ROI5,C4,5
2,63.0,3,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C4ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C4ROI5,C4,5
