,Dim1,Dim2,leiden,file_id,file_name,day,well,polymer,mask,medoid_cell,color_code
42,5.486201,13.98572,6,file_101,"/mnt/z/James/norbornene homopolymerization/same_formulations/241125_192553_jg_ve_norha_mw_encapsulation_dapi_phal_d3_peg_10k/241125_193216_Plate 1/#24B2570319_ZProj/B3ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001_masks_corrected.png",d3,B3,NorHA8,13,False,3
43,10.880332,11.539436,12,file_101,"/mnt/z/James/norbornene homopolymerization/same_formulations/241125_192553_jg_ve_norha_mw_encapsulation_dapi_phal_d3_peg_10k/241125_193216_Plate 1/#24B2570319_ZProj/B3ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001_masks_corrected.png",d3,B3,NorHA8,15,False,2
44,-4.0831532,6.939737,7,file_101,"/mnt/z/James/norbornene homopolymerization/same_formulations/241125_192553_jg_ve_norha_mw_encapsulation_dapi_phal_d3_peg_10k/241125_193216_Plate 1/#24B2570319_ZProj/B3ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001_masks_corrected.png",d3,B3,NorHA8,3,False,1
45,1.7971239,13.599856,4,file_101,"/mnt/z/James/norbornene homopolymerization/same_formulations/241125_192553_jg_ve_norha_mw_encapsulation_dapi_phal_d3_peg_10k/241125_193216_Plate 1/#24B2570319_ZProj/B3ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001_masks_corrected.png",d3,B3,NorHA8,4,False,1
46,2.5361996,14.0939245,20,file_101,"/mnt/z/James/norbornene homopolymerization/same_formulations/241125_192553_jg_ve_norha_mw_encapsulation_dapi_phal_d3_peg_10k/241125_193216_Plate 1/#24B2570319_ZProj/B3ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001_masks_corrected.png",d3,B3,NorHA8,5,False,2
47,-3.7451005,9.5539255,9,file_101,"/mnt/z/James/norbornene homopolymerization/same_formulations/241125_192553_jg_ve_norha_mw_encapsulation_dapi_phal_d3_peg_10k/241125_193216_Plate 1/#24B2570319_ZProj/B3ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001_masks_corrected.png",d3,B3,NorHA8,7,False,2
48,2.5981293,14.140118,20,file_101,"/mnt/z/James/norbornene homopolymerization/same_formulations/241125_192553_jg_ve_norha_mw_encapsulation_dapi_phal_d3_peg_10k/241125_193216_Plate 1/#24B2570319_ZProj/B3ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001_masks_corrected.png",d3,B3,NorHA8,8,False,2
49,14.275748,4.2402163,27,file_101,"/mnt/z/James/norbornene homopolymerization/same_formulations/241125_192553_jg_ve_norha_mw_encapsulation_dapi_phal_d3_peg_10k/241125_193216_Plate 1/#24B2570319_ZProj/B3ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001_masks_corrected.png",d3,B3,NorHA8,9,False,1
50,6.008615,13.022434,8,file_102,"/mnt/z/James/norbornene homopolymerization/same_formulations/241125_192553_jg_ve_norha_mw_encapsulation_dapi_phal_d3_peg_10k/241125_193216_Plate 1/#24B2570319_ZProj/B2ROI2_-2_2_1_ZProj[Confocal TRITC 556,600]_001_masks_corrected.png",d3,B2,NorHA8,10,False,4
51,1.7125324,12.362682,1,file_102,"/mnt/z/James/norbornene homopolymerization/same_formulations/241125_192553_jg_ve_norha_mw_encapsulation_dapi_phal_d3_peg_10k/241125_193216_Plate 1/#24B2570319_ZProj/B2ROI2_-2_2_1_ZProj[Confocal TRITC 556,600]_001_masks_corrected.png",d3,B2,NorHA8,11,False,4
52,7.8753867,14.408915,17,file_102,"/mnt/z/James/norbornene homopolymerization/same_formulations/241125_192553_jg_ve_norha_mw_encapsulation_dapi_phal_d3_peg_10k/241125_193216_Plate 1/#24B2570319_ZProj/B2ROI2_-2_2_1_ZProj[Confocal TRITC 556,600]_001_masks_corrected.png",d3,B2,NorHA8,12,False,2
53,-4.5171175,3.2447567,18,file_102,"/mnt/z/James/norbornene homopolymerization/same_formulations/241125_192553_jg_ve_norha_mw_encapsulation_dapi_phal_d3_peg_10k/241125_193216_Plate 1/#24B2570319_ZProj/B2ROI2_-2_2_1_ZProj[Confocal TRITC 556,600]_001_masks_corrected.png",d3,B2,NorHA8,13,False,2
54,6.1951656,12.997614,8,file_102,"/mnt/z/James/norbornene homopolymerization/same_formulations/241125_192553_jg_ve_norha_mw_encapsulation_dapi_phal_d3_peg_10k/241125_193216_Plate 1/#24B2570319_ZProj/B2ROI2_-2_2_1_ZProj[Confocal TRITC 556,600]_001_masks_corrected.png",d3,B2,NorHA8,14,False,4
55,6.7196255,12.467746,20,file_102,"/mnt/z/James/norbornene homopolymerization/same_formulations/241125_192553_jg_ve_norha_mw_encapsulation_dapi_phal_d3_peg_10k/241125_193216_Plate 1/#24B2570319_ZProj/B2ROI2_-2_2_1_ZProj[Confocal TRITC 556,600]_001_masks_corrected.png",d3,B2,NorHA8,15,False,2
56,13.937023,11.255393,2,file_102,"/mnt/z/James/norbornene homopolymerization/same_formulations/241125_192553_jg_ve_norha_mw_encapsulation_dapi_phal_d3_peg_10k/241125_193216_Plate 1/#24B2570319_ZProj/B2ROI2_-2_2_1_ZProj[Confocal TRITC 556,600]_001_masks_corrected.png",d3,B2,NorHA8,16,False,2
57,-3.2736151,9.706241,9,file_102,"/mnt/z/James/norbornene homopolymerization/same_formulations/241125_192553_jg_ve_norha_mw_encapsulation_dapi_phal_d3_peg_10k/241125_193216_Plate 1/#24B2570319_ZProj/B2ROI2_-2_2_1_ZProj[Confocal TRITC 556,600]_001_masks_corrected.png",d3,B2,NorHA8,18,False,2
58,-0.6887852,12.902265,19,file_102,"/mnt/z/James/norbornene homopolymerization/same_formulations/241125_192553_jg_ve_norha_mw_encapsulation_dapi_phal_d3_peg_10k/241125_193216_Plate 1/#24B2570319_ZProj/B2ROI2_-2_2_1_ZProj[Confocal TRITC 556,600]_001_masks_corrected.png",d3,B2,NorHA8,19,False,3
